danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.837,0.307,9,-15.069,1,0.212,0.618,0.0,0.158,0.866,95.16,172560,4
0.628,0.517,6,-10.168,1,0.0428,0.26,0.0,0.0609,0.376,135.752,302267,4
0.693,0.44,6,-11.122,0,0.161,0.67,0.0,0.0995,0.284,170.072,211893,4
0.609,0.844,4,-6.005,0,0.0554,0.000192,0.0,0.195,0.433,140.082,193973,4
0.497,0.828,0,-9.356,1,0.0339,0.0033,0.0428,0.163,0.305,141.347,259000,4
0.276,0.23,11,-15.066,1,0.0324,0.793,0.0341,0.359,0.23,77.093,161867,4
0.578,0.555,7,-13.05,1,0.459,0.82,7.14e-05,0.334,0.873,169.238,174289,4
0.638,0.317,5,-8.613,1,0.0754,0.993,0.855,0.129,0.775,124.478,159987,4
0.621,0.333,11,-9.709,0,0.0486,0.411,0.0,0.106,0.266,71.963,235053,4
0.646,0.0674,11,-21.942,1,0.032,0.855,0.000631,0.113,0.292,95.575,122053,4
0.62,0.937,7,-4.584,1,0.0312,0.0334,0.0,0.104,0.75,97.705,174080,4
0.544,0.787,9,-9.236,1,0.132,0.576,0.0141,0.0955,0.78,138.422,172467,4
0.555,0.692,9,-4.767,1,0.0277,0.0864,3.25e-05,0.232,0.313,88.995,222360,4
0.38,0.985,1,-5.074,0,0.0548,0.0187,5.3e-05,0.226,0.871,75.659,311300,4
0.668,0.541,11,-9.011,1,0.0728,0.127,0.0,0.271,0.524,114.832,312533,4
0.565,0.259,0,-15.865,1,0.0574,0.588,0.0,0.237,0.82,88.265,158627,4
0.367,0.23,9,-15.361,1,0.0287,0.843,6.6e-05,0.134,0.153,105.411,226400,3
0.372,0.196,2,-12.183,0,0.0311,0.709,2.24e-06,0.13,0.101,113.75,292400,4
0.326,0.549,9,-13.886,1,0.0577,0.397,0.0,0.163,0.611,114.053,198813,4
0.565,0.284,3,-14.965,1,0.0351,0.897,0.164,0.118,0.552,100.446,253267,4
0.484,0.628,11,-7.649,0,0.0352,0.0354,0.0251,0.0564,0.627,118.315,559840,4
0.435,0.175,9,-18.375,0,0.0347,0.965,0.905,0.0924,0.283,89.234,365773,4
0.641,0.799,0,-4.062,1,0.0247,0.0497,0.0,0.0666,0.82,134.514,208240,4
0.499,0.587,5,-7.312,1,0.0277,0.254,0.0,0.171,0.733,142.212,145800,4
0.294,0.2,9,-17.788,1,0.0411,0.361,1.93e-06,0.0956,0.127,117.52,171600,5
0.67,0.641,2,-8.557,1,0.173,0.163,0.0,0.0875,0.936,94.749,202027,4
0.541,0.207,10,-18.199,1,0.0848,0.992,0.88,0.118,0.485,118.28,146427,4
0.84,0.571,10,-7.421,1,0.0797,0.16,0.0,0.406,0.617,116.59,188493,4
0.716,0.131,7,-17.898,1,0.884,0.149,0.0,0.193,0.753,109.53,96523,4
0.542,0.201,4,-13.864,1,0.077,0.981,0.409,0.105,0.855,183.158,71796,4
0.353,0.331,0,-13.403,1,0.0345,0.468,0.0352,0.968,0.418,174.163,529907,3
0.314,0.871,0,-7.757,1,0.103,0.0123,0.825,0.18,0.488,90.092,163133,4
0.744,0.756,7,-7.429,1,0.0304,0.0819,0.00695,0.102,0.964,131.413,236200,4
0.461,0.161,8,-11.145,1,0.405,0.878,0.0,0.17,0.353,88.781,132000,3
0.649,0.706,10,-8.533,0,0.103,0.21,0.00437,0.133,0.737,127.981,278187,4
0.479,0.714,9,-11.627,0,0.075,0.654,0.00184,0.68,0.796,153.364,233537,4
0.47,0.0423,7,-20.223,1,0.0486,0.952,0.000698,0.121,0.147,61.928,320920,4
0.915,0.511,6,-7.482,0,0.323,0.00331,0.0,0.0752,0.619,140.036,137947,4
0.347,0.508,10,-7.555,1,0.0297,0.0119,0.0,0.595,0.159,171.827,398333,4
0.376,0.528,8,-6.944,1,0.0277,0.778,0.0003,0.156,0.335,148.751,291480,4
0.342,0.439,9,-10.773,0,0.0306,0.783,0.644,0.167,0.562,105.096,233467,4
0.163,0.016,7,-32.585,0,0.0498,0.973,0.49,0.111,0.033,68.383,99267,3
0.475,0.474,5,-9.3,1,0.0383,0.735,2.63e-06,0.303,0.703,127.338,141440,4
0.353,0.562,0,-5.983,1,0.0907,0.0787,0.0,0.0591,0.117,178.997,253387,3
0.567,0.425,8,-9.778,1,0.0343,0.985,0.168,0.11,0.595,115.705,196680,4
0.854,0.36,3,-12.469,1,0.0751,0.158,0.000496,0.265,0.89,95.891,202240,4
0.284,0.154,7,-21.785,1,0.0552,0.995,0.0191,0.288,0.101,80.745,332907,3
0.413,0.385,9,-8.471,0,0.0378,0.979,0.839,0.271,0.385,122.484,169493,4
0.619,0.344,9,-18.956,1,0.0391,0.457,0.000352,0.0929,0.713,96.265,201640,4
0.533,0.225,7,-18.813,0,0.0417,0.648,0.000138,0.25,0.451,100.365,238639,4
0.474,0.0118,9,-31.108,0,0.0318,0.991,0.891,0.0622,0.0656,79.1,117673,3
0.477,0.21,7,-11.998,1,0.0301,0.964,0.000368,0.114,0.348,106.928,164533,4
0.67,0.643,5,-4.553,1,0.0465,0.118,0.0,0.192,0.703,123.979,201159,4
0.534,0.814,9,-4.747,1,0.0333,8.07e-05,2.51e-05,0.111,0.373,126.002,235107,4
0.391,0.418,1,-8.165,0,0.0358,0.984,0.947,0.299,0.578,127.599,193867,4
0.397,0.361,8,-9.051,1,0.0308,0.84,0.0,0.259,0.199,73.709,182133,4
0.572,0.229,7,-24.164,1,0.0762,0.995,0.941,0.134,0.917,142.452,87200,4
0.414,0.181,2,-9.321,0,0.0344,0.921,0.714,0.102,0.37,91.237,281293,4
0.483,0.979,7,-3.543,1,0.0655,0.000112,0.0,0.254,0.393,91.022,90427,4
0.65,0.62,8,-8.146,1,0.0293,0.0351,0.0,0.153,0.626,96.392,295653,4
0.47,0.762,4,-13.53,0,0.0342,0.00553,3.71e-05,0.0997,0.855,164.42,309373,4
0.781,0.744,5,-6.938,1,0.0584,0.73,0.0117,0.337,0.964,88.563,387600,4
